Ticker,Strategy_Return_Pct,BuyHold_Return_Pct,Outperformance_Pct,Num_Trades,Beat_Benchmark
WIPRO.NS,-3.23,-29.74,26.51,8,Yes
ADANIENT.NS,46.78,21.69,25.09,9,Yes
TCS.NS,-4.55,-27.21,22.66,10,Yes
INFY.NS,-10.96,-30.53,19.57,10,Yes
HDFCBANK.NS,-4.42,-23.52,19.1,4,Yes
INDUSINDBK.NS,43.03,27.02,16.01,3,Yes
BPCL.NS,14.17,-1.71,15.88,6,Yes
HCLTECH.NS,-1.14,-14.92,13.78,6,Yes
HDFCLIFE.NS,-16.18,-27.28,11.1,8,Yes
RELIANCE.NS,0.62,-8.0,8.62,4,Yes
NESTLEIND.NS,31.09,23.5,7.59,7,Yes
KOTAKBANK.NS,-4.41,-11.63,7.22,10,Yes
ASIANPAINT.NS,20.87,15.02,5.85,9,Yes
CIPLA.NS,3.26,-2.46,5.72,7,Yes
ITC.NS,-24.38,-29.21,4.83,8,Yes
TECHM.NS,8.61,4.57,4.04,9,Yes
ADANIPORTS.NS,31.79,28.6,3.19,5,Yes
BHARTIARTL.NS,4.02,2.21,1.81,4,Yes
M&M.NS,0.19,-1.49,1.68,12,Yes
SUNPHARMA.NS,17.41,16.85,0.56,7,Yes
BAJAJFINSV.NS,-8.01,-7.92,-0.09,14,No
ONGC.NS,3.44,7.76,-4.32,5,No
DIVISLAB.NS,7.64,12.21,-4.57,11,No
TATACONSUM.NS,-3.09,1.79,-4.88,8,No
HINDUNILVR.NS,-16.68,-11.54,-5.14,10,No
SBILIFE.NS,-5.57,0.01,-5.58,8,No
ICICIBANK.NS,-8.84,-1.48,-7.36,13,No
GRASIM.NS,9.15,16.72,-7.57,7,No
BAJFINANCE.NS,4.11,12.0,-7.89,11,No
POWERGRID.NS,-8.4,0.32,-8.72,7,No
UPL.NS,-24.46,-14.96,-9.5,8,No
ULTRACEMCO.NS,-13.4,-3.88,-9.52,7,No
APOLLOHOSP.NS,13.7,23.66,-9.96,7,No
LT.NS,0.89,11.26,-10.37,8,No
TITAN.NS,25.19,36.13,-10.94,7,No
NTPC.NS,-5.88,5.54,-11.42,6,No
MARUTI.NS,-2.46,9.6,-12.06,4,No
SBIN.NS,15.8,28.03,-12.23,7,No
BAJAJ-AUTO.NS,21.29,34.46,-13.17,7,No
BRITANNIA.NS,-16.2,-2.65,-13.55,10,No
DRREDDY.NS,-18.01,-4.01,-14.0,12,No
AXISBANK.NS,-1.96,12.87,-14.83,10,No
COALINDIA.NS,-0.49,17.84,-18.33,9,No
TATASTEEL.NS,-2.66,16.77,-19.43,5,No
JSWSTEEL.NS,2.06,23.62,-21.56,5,No
HINDALCO.NS,9.94,39.4,-29.46,7,No
LTF.NS,11.58,47.72,-36.14,13,No
HEROMOTOCO.NS,-30.16,18.86,-49.02,14,No
EICHERMOT.NS,-17.3,42.13,-59.43,11,No
