Date,Action,Price,Signal,Ticker
2025-08-05,BUY,2327.16,Buy,ADANIENT.NS
2025-09-19,SELL,2522.87,Sell,ADANIENT.NS
2025-09-26,BUY,2542.56,Buy,ADANIENT.NS
2025-11-12,SELL,2407.61,Sell,ADANIENT.NS
2026-02-03,BUY,2201.62,Buy,ADANIENT.NS
2026-03-05,SELL,2088.27,Sell,ADANIENT.NS
2026-04-10,BUY,2085.87,Buy,ADANIENT.NS
2026-06-22,SELL,3059.6,Sell,ADANIENT.NS
2026-07-03,BUY,3212.1,Buy,ADANIENT.NS
2025-08-08,BUY,1319.44,Buy,ADANIPORTS.NS
2025-12-31,SELL,1463.63,Sell,ADANIPORTS.NS
2026-02-06,BUY,1544.19,Buy,ADANIPORTS.NS
2026-03-06,SELL,1471.3,Sell,ADANIPORTS.NS
2026-04-13,BUY,1459.15,Buy,ADANIPORTS.NS
2025-10-09,BUY,7684.8,Buy,APOLLOHOSP.NS
2025-10-31,SELL,7670.82,Sell,APOLLOHOSP.NS
2026-01-08,BUY,7354.74,Buy,APOLLOHOSP.NS
2026-01-23,SELL,6793.98,Sell,APOLLOHOSP.NS
2026-02-04,BUY,7106.57,Buy,APOLLOHOSP.NS
2026-03-20,SELL,7364.5,Sell,APOLLOHOSP.NS
2026-04-10,BUY,7511.5,Buy,APOLLOHOSP.NS
2025-10-21,BUY,2479.19,Buy,ASIANPAINT.NS
2025-11-28,SELL,2849.68,Sell,ASIANPAINT.NS
2026-01-07,BUY,2785.24,Buy,ASIANPAINT.NS
2026-01-16,SELL,2733.19,Sell,ASIANPAINT.NS
2026-03-02,BUY,2287.26,Strong Buy,ASIANPAINT.NS
2026-03-10,SELL,2260.79,Sell,ASIANPAINT.NS
2026-04-23,BUY,2499.71,Buy,ASIANPAINT.NS
2025-08-05,BUY,1069.97,Buy,AXISBANK.NS
2025-09-17,SELL,1125.13,Sell,AXISBANK.NS
2025-09-26,BUY,1153.11,Buy,AXISBANK.NS
2025-12-18,SELL,1228.85,Sell,AXISBANK.NS
2026-01-01,BUY,1273.42,Buy,AXISBANK.NS
2026-01-23,SELL,1257.03,Sell,AXISBANK.NS
2026-01-27,BUY,1314.79,Buy,AXISBANK.NS
