Ticker,MAPE_Pct,Predictions_Checked,Best_Pct,Worst_Pct,Reliability
SBIN.NS,0.97,250,0.01,4.42,Excellent
POWERGRID.NS,0.98,250,0.0,4.2,Excellent
HDFCBANK.NS,1.01,250,0.0,7.01,Excellent
NTPC.NS,1.04,250,0.0,3.99,Excellent
ITC.NS,1.05,250,0.0,6.15,Excellent
SUNPHARMA.NS,1.06,250,0.0,5.08,Excellent
APOLLOHOSP.NS,1.06,250,0.01,5.07,Excellent
GRASIM.NS,1.07,250,0.01,5.15,Excellent
BRITANNIA.NS,1.08,250,0.0,4.83,Excellent
ULTRACEMCO.NS,1.1,250,0.0,6.57,Excellent
LT.NS,1.11,250,0.01,6.27,Excellent
TATACONSUM.NS,1.12,250,0.0,5.05,Excellent
HINDUNILVR.NS,1.13,250,0.0,4.19,Excellent
SBILIFE.NS,1.13,250,0.0,5.53,Excellent
ICICIBANK.NS,1.14,250,0.0,3.7,Excellent
TITAN.NS,1.15,250,0.0,5.03,Excellent
NESTLEIND.NS,1.17,250,0.0,4.91,Excellent
CIPLA.NS,1.18,250,0.01,5.84,Excellent
JSWSTEEL.NS,1.2,250,0.0,5.04,Excellent
COALINDIA.NS,1.21,250,0.0,5.49,Excellent
ADANIPORTS.NS,1.22,250,0.0,6.36,Excellent
BAJAJ-AUTO.NS,1.22,250,0.0,9.74,Excellent
RELIANCE.NS,1.22,250,0.01,9.83,Excellent
ONGC.NS,1.24,250,0.0,6.57,Excellent
BAJAJFINSV.NS,1.25,250,0.0,4.13,Excellent
BHARTIARTL.NS,1.26,250,0.0,6.47,Excellent
AXISBANK.NS,1.27,250,0.0,6.16,Excellent
TATASTEEL.NS,1.29,250,0.0,4.9,Excellent
KOTAKBANK.NS,1.31,250,0.01,10.1,Excellent
ASIANPAINT.NS,1.35,250,0.02,4.74,Excellent
MARUTI.NS,1.37,250,0.01,7.65,Excellent
EICHERMOT.NS,1.4,250,0.0,7.71,Excellent
WIPRO.NS,1.45,250,0.0,5.91,Excellent
INDUSINDBK.NS,1.46,250,0.02,5.96,Excellent
BAJFINANCE.NS,1.48,250,0.01,5.57,Excellent
HEROMOTOCO.NS,1.49,250,0.01,5.82,Excellent
DIVISLAB.NS,1.49,249,0.01,11.7,Excellent
HDFCLIFE.NS,1.49,250,0.01,7.61,Excellent
BPCL.NS,1.53,250,0.02,8.5,Excellent
M&M.NS,1.55,250,0.0,6.4,Excellent
HINDALCO.NS,1.59,250,0.0,5.7,Excellent
INFY.NS,1.76,250,0.01,8.31,Excellent
TCS.NS,1.81,250,0.01,18.01,Excellent
TECHM.NS,1.82,250,0.02,16.58,Excellent
ADANIENT.NS,1.83,250,0.0,9.37,Excellent
DRREDDY.NS,1.84,250,0.01,15.06,Excellent
LTF.NS,1.93,250,0.0,8.34,Excellent
UPL.NS,2.06,250,0.0,9.47,Good
HCLTECH.NS,2.2,250,0.0,22.4,Good
