Ticker,Current_Price,Forecast_30d,Lower_CI,Upper_CI,Expected_Change,Direction,Forecast_Date
HEROMOTOCO.NS,5098.8,6149.83,6033.88,6266.25,20.61,Bullish 📈,2026-07-25
MARUTI.NS,13442.0,15982.22,15725.1,16267.72,18.9,Bullish 📈,2026-07-25
EICHERMOT.NS,7721.5,8884.57,8729.08,9048.4,15.06,Bullish 📈,2026-07-25
HINDUNILVR.NS,2161.8,2366.9,2324.48,2406.36,9.49,Bullish 📈,2026-07-25
ASIANPAINT.NS,2668.8,2903.21,2851.81,2954.38,8.78,Bullish 📈,2026-07-25
M&M.NS,3229.7,3478.53,3399.68,3561.38,7.7,Bullish 📈,2026-07-25
BAJAJ-AUTO.NS,11283.5,12099.89,11926.6,12281.68,7.24,Bullish 📈,2026-07-25
BRITANNIA.NS,5388.0,5776.02,5677.17,5872.82,7.2,Bullish 📈,2026-07-25
TECHM.NS,1555.8,1662.56,1631.32,1693.78,6.86,Bullish 📈,2026-07-25
TITAN.NS,4697.3,4981.45,4909.9,5050.58,6.05,Bullish 📈,2026-07-25
APOLLOHOSP.NS,8862.0,9349.64,9218.82,9472.61,5.5,Bullish 📈,2026-07-25
ULTRACEMCO.NS,11908.0,12538.04,12339.61,12743.74,5.29,Bullish 📈,2026-07-25
JSWSTEEL.NS,1246.8,1306.32,1286.49,1328.06,4.77,Bullish 📈,2026-07-25
HDFCLIFE.NS,555.05,580.82,567.51,594.73,4.64,Bullish 📈,2026-07-25
NESTLEIND.NS,1443.5,1509.04,1488.08,1530.78,4.54,Bullish 📈,2026-07-25
HINDALCO.NS,942.8,983.07,962.61,1003.38,4.27,Bullish 📈,2026-07-25
CIPLA.NS,1393.0,1448.95,1422.75,1473.33,4.02,Bullish 📈,2026-07-25
GRASIM.NS,3089.4,3204.17,3152.18,3249.91,3.71,Bullish 📈,2026-07-25
LT.NS,3785.6,3924.43,3852.38,3996.11,3.67,Bullish 📈,2026-07-25
COALINDIA.NS,427.4,442.17,433.83,450.9,3.46,Bullish 📈,2026-07-25
TCS.NS,2254.3,2322.43,2263.66,2380.52,3.02,Bullish 📈,2026-07-25
BAJFINANCE.NS,1039.8,1069.68,1046.91,1092.09,2.87,Bullish 📈,2026-07-25
LTF.NS,305.05,313.44,305.43,321.26,2.75,Bullish 📈,2026-07-25
TATASTEEL.NS,182.67,186.67,182.93,190.37,2.19,Bullish 📈,2026-07-25
TATACONSUM.NS,1088.0,1111.2,1091.66,1132.19,2.13,Bullish 📈,2026-07-25
HCLTECH.NS,1244.7,1270.43,1239.37,1299.21,2.07,Bullish 📈,2026-07-25
ITC.NS,283.45,286.73,280.52,292.93,1.16,Bullish 📈,2026-07-25
SBIN.NS,1015.0,1025.77,1010.43,1041.16,1.06,Bullish 📈,2026-07-25
AXISBANK.NS,1223.0,1228.69,1202.97,1253.95,0.47,Bullish 📈,2026-07-25
RELIANCE.NS,1278.0,1279.42,1254.45,1303.99,0.11,Bullish 📈,2026-07-25
BHARTIARTL.NS,1907.0,1906.78,1873.46,1941.04,-0.01,Bearish 📉,2026-07-25
DRREDDY.NS,1151.7,1143.4,1117.61,1170.41,-0.72,Bearish 📉,2026-07-25
SBILIFE.NS,1853.5,1837.46,1803.77,1875.13,-0.87,Bearish 📉,2026-07-25
ADANIPORTS.NS,1778.5,1762.73,1731.56,1792.42,-0.89,Bearish 📉,2026-07-25
NTPC.NS,347.2,343.7,337.3,349.59,-1.01,Bearish 📉,2026-07-25
INFY.NS,1040.9,1028.96,992.95,1064.48,-1.15,Bearish 📉,2026-07-25
ONGC.NS,248.76,245.79,240.3,250.67,-1.19,Bearish 📉,2026-07-25
BAJAJFINSV.NS,1889.4,1857.5,1820.39,1894.75,-1.69,Bearish 📉,2026-07-25
UPL.NS,607.0,595.01,575.31,614.42,-1.98,Bearish 📉,2026-07-25
WIPRO.NS,177.12,172.71,167.35,177.92,-2.49,Bearish 📉,2026-07-25
ICICIBANK.NS,1434.6,1395.97,1369.72,1419.5,-2.69,Bearish 📉,2026-07-25
POWERGRID.NS,288.2,280.39,275.6,285.08,-2.71,Bearish 📉,2026-07-25
KOTAKBANK.NS,384.75,372.95,365.29,380.38,-3.07,Bearish 📉,2026-07-25
BPCL.NS,310.15,298.14,291.19,305.74,-3.87,Bearish 📉,2026-07-25
HDFCBANK.NS,742.8,712.24,697.71,726.03,-4.11,Bearish 📉,2026-07-25
INDUSINDBK.NS,996.05,952.74,934.94,973.98,-4.35,Bearish 📉,2026-07-25
DIVISLAB.NS,7248.5,6906.77,6776.08,7036.69,-4.71,Bearish 📉,2026-07-25
SUNPHARMA.NS,1954.0,1846.93,1818.54,1874.7,-5.48,Bearish 📉,2026-07-25
ADANIENT.NS,3026.4,2752.14,2683.37,2817.58,-9.06,Bearish 📉,2026-07-25
