Date,Forecast,Lower_CI,Upper_CI,Ticker
2025-07-22,2600.45,2536.26,2664.22,ADANIENT.NS
2025-07-23,2590.87,2520.92,2657.94,ADANIENT.NS
2025-07-24,2570.28,2498.84,2638.93,ADANIENT.NS
2025-07-25,2540.93,2469.9,2607.06,ADANIENT.NS
2025-07-28,2480.73,2413.26,2550.59,ADANIENT.NS
2025-07-29,2459.88,2390.8,2525.45,ADANIENT.NS
2025-07-30,2451.98,2383.1,2521.5,ADANIENT.NS
2025-07-31,2434.49,2363.62,2501.3,ADANIENT.NS
2025-08-01,2409.53,2339.76,2483.96,ADANIENT.NS
2025-08-04,2368.45,2299.97,2435.67,ADANIENT.NS
2025-08-05,2355.32,2284.57,2423.75,ADANIENT.NS
2025-08-06,2355.49,2290.38,2421.69,ADANIENT.NS
2025-08-07,2346.24,2274.17,2418.43,ADANIENT.NS
2025-08-08,2329.49,2257.89,2405.17,ADANIENT.NS
2025-08-11,2311.44,2240.42,2381.91,ADANIENT.NS
2025-08-12,2305.06,2239.41,2375.12,ADANIENT.NS
2025-08-13,2311.36,2243.6,2376.74,ADANIENT.NS
2025-08-14,2307.59,2240.85,2377.81,ADANIENT.NS
2025-08-18,2288.21,2220.2,2356.53,ADANIENT.NS
2025-08-19,2284.25,2217.2,2352.53,ADANIENT.NS
2025-08-20,2292.55,2222.07,2361.93,ADANIENT.NS
2025-08-21,2290.46,2219.34,2355.55,ADANIENT.NS
2025-08-22,2279.98,2212.43,2349.05,ADANIENT.NS
2025-08-25,2276.71,2204.87,2346.94,ADANIENT.NS
2025-08-26,2274.44,2208.67,2343.83,ADANIENT.NS
2025-08-28,2285.0,2215.45,2351.25,ADANIENT.NS
2025-08-29,2277.33,2206.33,2349.74,ADANIENT.NS
2025-09-01,2285.47,2214.95,2356.28,ADANIENT.NS
2025-09-02,2288.0,2224.65,2349.45,ADANIENT.NS
2025-09-03,2303.55,2234.99,2373.06,ADANIENT.NS
2025-09-04,2309.49,2241.11,2378.07,ADANIENT.NS
2025-09-05,2307.82,2243.67,2378.5,ADANIENT.NS
2025-09-08,2335.05,2268.4,2407.11,ADANIENT.NS
2025-09-09,2343.96,2277.22,2412.51,ADANIENT.NS
2025-09-10,2365.71,2298.43,2433.8,ADANIENT.NS
2025-09-11,2377.55,2309.52,2446.38,ADANIENT.NS
2025-09-12,2381.36,2314.48,2451.25,ADANIENT.NS
2025-09-15,2421.59,2353.95,2487.3,ADANIENT.NS
2025-09-16,2433.4,2362.6,2498.15,ADANIENT.NS
2025-09-17,2457.22,2390.06,2521.29,ADANIENT.NS
2025-09-18,2470.27,2401.55,2539.62,ADANIENT.NS
2025-09-19,2474.42,2408.9,2542.4,ADANIENT.NS
2025-09-22,2510.4,2443.88,2579.76,ADANIENT.NS
2025-09-23,2519.14,2445.44,2590.41,ADANIENT.NS
2025-09-24,2539.16,2468.77,2609.81,ADANIENT.NS
