Ticker,Company,Sector,Industry,Market_Cap_Cr,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,EV_EBITDA,ROE_Pct,ROA_Pct,Profit_Margin_Pct,Operating_Margin_Pct,Revenue_Growth_Pct,Earnings_Growth_Pct,Debt_To_Equity,Current_Ratio,Quick_Ratio,EPS,Book_Value,Dividend_Yield_Pct,Current_Price,52W_High,52W_Low,Fund_Score,Fund_Grade
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1798195.01,24.068106,18.534208,1.9890877,1.6173145,,,,6.72,12.24,30.7,-22.4,36.653,,,55.21,668.045,45.0,1328.8,1611.8,1253.2,32,D
TCS.NS,Tata Consultancy Services Limited,IT,Information Technology Services,819858.61,16.45248,13.970055,7.4782023,2.9720204,10.939,47.74,24.48,18.05,23.96,13.9,4.6,10.211,2.276,2.045,137.73,303.014,286.0,2266.0,3350.0,1976.8,60,B
HDFCBANK.NS,HDFC Bank Limited,Banking,Banks - Regional,1264131.03,18.309168,13.03794,2.1559038,4.2857065,,13.84,1.75,26.79,33.29,16.6,18.1,,,,44.83,380.722,159.0,820.8,1020.5,726.65,52,C
INFY.NS,Infosys Limited,IT,Information Technology Services,443033.69,14.504241,13.424439,4.6931133,219.7806,1001.532,31.44,15.09,16.43,20.93,6.6,11.8,9.827,1.978,1.716,75.44,233.15013,456.0,1094.2,1728.0,982.4,52,C
ICICIBANK.NS,ICICI Bank Limited,Banking,Banks - Regional,1042994.53,19.435905,15.92365,2.8679292,4.674682,,16.07,2.11,25.14,38.51,11.4,13.8,,,,74.81,506.986,83.0,1454.0,1500.0,1187.6,57,B
HINDUNILVR.NS,Hindustan Unilever Limited,FMCG,Household & Personal Products,502812.53,47.313732,39.71224,10.316435,7.7994127,34.249,21.6,10.71,23.33,21.14,4.3,21.4,3.016,1.223,0.7,45.23,207.436,205.0,2140.0,2750.0,2022.5,35,D
ITC.NS,ITC Limited,FMCG,Tobacco,351451.58,16.989702,15.895007,4.8471546,4.456177,12.14,29.34,17.59,26.23,36.41,-5.0,-72.7,3.293,3.039,1.8,16.51,57.869,570.0,280.5,427.0,275.0,55,B
SBIN.NS,State Bank of India,Banking,Banks - Regional,962937.96,11.44236,10.217388,1.6153133,2.5563927,,15.48,1.11,22.11,28.96,7.1,-3.1,,,,91.17,645.819,166.0,1043.2,1234.7,786.55,52,C
BHARTIARTL.NS,Bharti Airtel Limited,Telecom,Telecom Services,1190335.93,43.08943,23.351591,7.4832335,5.64213,12.575,19.36,7.88,12.65,32.77,15.7,-34.0,99.718,0.517,0.282,44.28,254.97,126.0,1908.0,2174.5,1740.5,35,D
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Banking,Banks - Regional,388608.4,20.15996,16.211618,2.144335,5.4506116,,,,28.47,34.76,21.0,22.5,,,,19.38,182.201,17.0,390.7,453.2,345.5,47,C
LT.NS,Larsen & Toubro Limited,Infrastructure,Engineering & Construction,525239.64,32.709904,20.801996,4.8055935,1.801122,17.48,16.95,4.59,5.51,10.71,11.7,-34.5,97.64,1.251,0.845,116.72,794.47,100.0,3817.9,4440.0,3288.1,30,D
AXISBANK.NS,Axis Bank Limited,Banking,Banks - Regional,413571.93,15.734407,11.180955,1.9215454,5.365395,,13.35,1.54,36.03,49.18,14.0,21.8,,,,84.49,691.839,8.0,1329.4,1418.3,1042.5,52,C
ASIANPAINT.NS,Asian Paints Limited,Paints,Specialty Chemicals,257875.33,59.53962,45.738342,12.073229,7.2470393,40.305,20.89,10.56,12.15,16.14,10.6,69.2,17.847,2.209,1.485,45.18,222.807,102.0,2690.0,2985.7,2115.0,50,C
MARUTI.NS,Maruti Suzuki India Limited,Auto,Auto Manufacturers,434630.09,29.6309,22.260698,4.0560203,2.3709338,19.422,14.43,6.55,8.01,8.41,28.2,-6.4,0.096,1.068,0.622,466.54,3408.267,101.0,13824.0,17370.0,12201.0,45,C
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Pharma,Drug Manufacturers - Specialty & Generic,464031.37,40.5111,29.993776,5.5526047,7.937311,26.672,14.72,8.47,19.64,19.23,12.8,25.1,5.517,2.824,2.183,47.74,348.305,83.0,1934.0,1962.7,1548.0,40,C
