Ticker,Company,Headline,Label,Confidence,Polarity,Model
RELIANCE.NS,Reliance Industries,Reliance Industries shares climb nearly 3% as Jio files for IPO,positive,0.9075,0.9075,FinBERT
RELIANCE.NS,Reliance Industries,"Stocks to Watch Today: Reliance Industries, ICICI Bank, HDFC Bank, NATCO Pharma, Oberoi Realty, RBL Bank,...",neutral,0.9286,0.0,FinBERT
RELIANCE.NS,Reliance Industries,IPO: Reliance Jio announces what may be India's biggest-ever share sale,neutral,0.877,0.0,FinBERT
RELIANCE.NS,Reliance Industries,Reliance Industries share price rises 2.5% despite stock market crash. Do you own?,neutral,0.7858,0.0,FinBERT
RELIANCE.NS,Reliance Industries,Unpleasant Surprises Could Be In Store For Reliance Industries Limited's (NSE:RELIANCE) Shares,negative,0.779,-0.779,FinBERT
RELIANCE.NS,Reliance Industries,"Stock market crash: Reliance Industries, TCS, RVNL, Wipro among 82 stocks that hit 52-week low on NSE",negative,0.8792,-0.8792,FinBERT
RELIANCE.NS,Reliance Industries,Reliance Industries shares up 2% on NSE,positive,0.9417,0.9417,FinBERT
RELIANCE.NS,Reliance Industries,Reliance AGM Puts Jio IPO in Focus After India NSE’s Filing,neutral,0.6858,0.0,FinBERT
RELIANCE.NS,Reliance Industries,Indian shares extend losses as investors book profits in thin year-end trade; Reliance drags,negative,0.9701,-0.9701,FinBERT
RELIANCE.NS,Reliance Industries,"Stock Alert: Ashoka Buildcon, NLC India, Reliance Industries, Vedanta, RBL Bank",neutral,0.9456,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,TCS Share Price Today - Tata Consultancy Services on NSE/BSE,neutral,0.9375,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,"TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus",negative,0.9639,-0.9639,FinBERT
TCS.NS,TCS Tata Consultancy,TCS Q1 FY2027 Results: Revenue and Profit Data,neutral,0.8587,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,"IT shares crash after three-day rally, TCS nosedives 8 per cent",negative,0.9687,-0.9687,FinBERT
TCS.NS,TCS Tata Consultancy,Investors in Tata Consultancy Services (NSE:TCS) have unfortunately lost 21% over the last year,negative,0.9728,-0.9728,FinBERT
TCS.NS,TCS Tata Consultancy,TCS shares slide to 6-year low after 9% crash; what lies ahead?,negative,0.9325,-0.9325,FinBERT
TCS.NS,TCS Tata Consultancy,"TCS, Wipro to Infosys: IT stocks continue to fall amid AI jitters",negative,0.9731,-0.9731,FinBERT
TCS.NS,TCS Tata Consultancy,"TCS to Announce Q1 FY27 Financial Results on July 9, 2026",neutral,0.9504,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,Tata Consultancy Services Limited's (NSE:TCS) Share Price Could Signal Some Risk,negative,0.6985,-0.6985,FinBERT
TCS.NS,TCS Tata Consultancy,"TCS, Infosys rally up to 9% in 3 days: Want to trade the major IT stocks? Check stop losses",neutral,0.6891,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,HDFC Bank shares tumble 7% in two sessions after Q1; what's spooking investors?,negative,0.9554,-0.9554,FinBERT
HDFCBANK.NS,HDFC Bank,HDFC Bank shares fall as 3 US law firms launch probe over alleged federal law violations,negative,0.9522,-0.9522,FinBERT
HDFCBANK.NS,HDFC Bank,"Markets Drift Lower Led By HDFC Bank, Foreign Fund Outflows, US-Iran Conflict Weigh On Sentiment",negative,0.9523,-0.9523,FinBERT
HDFCBANK.NS,HDFC Bank,HDFC Bank Stock Leads This India Watchlist as Volatility Tests Bank and Gas Shares,positive,0.6845,0.6845,FinBERT
HDFCBANK.NS,HDFC Bank,"Stock markets tumble in early trade dragged by HDFC Bank, spike in crude oil prices",negative,0.9595,-0.9595,FinBERT
HDFCBANK.NS,HDFC Bank,"HDFC Bank shares extend fall for second day, top Nifty loser today despite Street's bullish view",negative,0.9624,-0.9624,FinBERT
HDFCBANK.NS,HDFC Bank,"Stocks to Watch Today: Reliance Industries, ICICI Bank, HDFC Bank, NATCO Pharma, Oberoi Realty, RBL Bank,...",neutral,0.9286,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,HDFC Bank gains 2% on Q1 business update; brokerages decode fine print,positive,0.9353,0.9353,FinBERT
HDFCBANK.NS,HDFC Bank,"Financial services emerge as India Inc's biggest value creator, led by HDFC Bank, ICICI Bank and NSE",positive,0.7153,0.7153,FinBERT
HDFCBANK.NS,HDFC Bank,"SENSEX rises over 500 points, NIFTY50 above 24,200 led by gains in ICICI Bank, HDFC Bank",positive,0.9362,0.9362,FinBERT
INFY.NS,Infosys,Infosys Shares Decline Nearly 3 Pc After Q1 Earnings,negative,0.9696,-0.9696,FinBERT
INFY.NS,Infosys,Infosys shares declines nearly 3 per cent after revised FY27 guidance,negative,0.9696,-0.9696,FinBERT
INFY.NS,Infosys,"Red Flags For IT: TCS, Infosys Drop 2% As Weak Guidance, High Valuations Spooks Investors",negative,0.9709,-0.9709,FinBERT
INFY.NS,Infosys,"Indian Stock Market Weekly Round-Up: Bears Take Charge as Nifty Slides 2% In Week, Financials Lead Decline",positive,0.5971,0.5971,FinBERT
