Ticker,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct,VaR_95_Pct,CVaR_95_Pct,Beta,Current_Price,52W_High,52W_Low,From_52W_High_Pct
LTF.NS,67.24,34.64,1.753,-25.01,-2.885,-4.32,1.837,310.05,335.6,193.76,-7.61
HINDALCO.NS,47.94,27.81,1.49,-18.27,-2.865,-4.127,0.928,944.15,1143.73,663.59,-17.45
TITAN.NS,39.63,22.92,1.445,-11.27,-1.584,-2.766,1.042,4638.1,4638.1,3305.15,0.0
EICHERMOT.NS,41.02,26.79,1.289,-19.58,-2.567,-3.579,1.279,7563.5,8190.0,5317.06,-7.65
SBIN.NS,31.94,22.61,1.125,-22.11,-1.945,-3.396,1.023,1044.3,1206.06,779.94,-13.41
BAJAJ-AUTO.NS,30.66,22.2,1.088,-13.37,-1.962,-2.813,1.01,10443.0,10658.5,7896.87,-2.02
ADANIPORTS.NS,32.16,27.24,0.942,-16.98,-2.21,-3.379,1.522,1837.4,1883.2,1294.84,-2.43
APOLLOHOSP.NS,22.87,19.22,0.852,-15.21,-1.515,-1.992,0.666,8826.0,8934.0,6784.49,-1.21
JSWSTEEL.NS,23.91,23.32,0.747,-13.35,-2.324,-3.455,1.287,1237.3,1305.4,1020.74,-5.22
COALINDIA.NS,21.8,22.25,0.688,-11.27,-1.969,-2.93,0.334,427.65,481.65,348.03,-11.21
NESTLEIND.NS,20.5,20.69,0.677,-11.96,-1.838,-2.453,0.691,1427.2,1478.99,1078.37,-3.5
ADANIENT.NS,28.66,34.95,0.634,-34.28,-3.136,-4.222,1.783,3160.7,3212.1,1758.01,-1.6
TATASTEEL.NS,23.24,26.83,0.624,-14.85,-2.555,-3.749,1.333,185.89,216.66,149.92,-14.2
INDUSINDBK.NS,24.14,28.64,0.616,-21.99,-2.937,-3.898,1.574,1027.2,1027.2,711.6,0.0
SUNPHARMA.NS,16.9,19.66,0.529,-13.23,-1.994,-2.911,0.631,1932.6,1951.5,1549.15,-0.97
AXISBANK.NS,18.07,23.67,0.489,-17.23,-2.276,-3.504,1.157,1328.5,1401.92,1044.39,-5.24
BAJFINANCE.NS,20.4,29.47,0.472,-26.74,-2.82,-4.256,1.51,1056.3,1087.47,796.65,-2.87
HEROMOTOCO.NS,18.57,26.41,0.457,-23.34,-2.738,-3.443,1.352,4909.9,6229.09,4149.81,-21.18
ASIANPAINT.NS,16.63,23.76,0.426,-28.54,-2.473,-3.154,0.987,2689.0,2942.97,2103.05,-8.63
GRASIM.NS,15.64,21.58,0.424,-14.45,-2.09,-3.097,1.171,3109.7,3213.6,2531.1,-3.23
MARUTI.NS,15.39,24.6,0.361,-28.83,-2.467,-3.307,1.156,13803.0,17292.0,12207.87,-20.18
