Ticker,Company,Avg_Polarity,Sentiment_Label,Sentiment_Score,Bullish_Count,Bearish_Count,Neutral_Count,Avg_Confidence,Total_Articles
RELIANCE.NS,Reliance Industries,-0.0082,Neutral,49.6,3,3,4,0.8856,10
TCS.NS,TCS Tata Consultancy,-0.4105,Very Negative,29.5,1,6,3,0.8722,10
HDFCBANK.NS,HDFC Bank,-0.2443,Negative,37.8,3,5,2,0.9027,10
INFY.NS,Infosys,-0.4705,Very Negative,26.5,2,7,1,0.8463,10
ICICIBANK.NS,ICICI Bank,0.1527,Positive,57.6,2,0,8,0.8101,10
HINDUNILVR.NS,Hindustan Unilever HUL,-0.0358,Neutral,48.2,1,1,8,0.8354,10
ITC.NS,ITC Limited,-0.275,Negative,36.2,0,3,7,0.8816,10
SBIN.NS,State Bank India SBI,0.051,Neutral,52.5,3,2,5,0.8285,10
BHARTIARTL.NS,Bharti Airtel,0.366,Positive,68.3,5,1,4,0.8918,10
KOTAKBANK.NS,Kotak Mahindra Bank,-0.0643,Neutral,46.8,2,3,5,0.8667,10
LT.NS,Larsen Toubro,-0.0379,Neutral,48.1,1,2,7,0.8441,10
AXISBANK.NS,Axis Bank,0.0411,Neutral,52.1,3,2,5,0.8807,10
ASIANPAINT.NS,Asian Paints,0.0816,Neutral,54.1,3,2,5,0.9414,10
MARUTI.NS,Maruti Suzuki,-0.1947,Negative,40.3,1,3,6,0.9114,10
SUNPHARMA.NS,Sun Pharma,-0.1811,Negative,40.9,0,2,8,0.844,10
TITAN.NS,Titan Company,0.2461,Positive,62.3,4,1,5,0.801,10
ULTRACEMCO.NS,UltraTech Cement,0.0777,Neutral,53.9,3,2,5,0.9272,10
BAJFINANCE.NS,Bajaj Finance,0.0051,Neutral,50.3,1,1,8,0.8596,10
WIPRO.NS,Wipro,-0.23,Negative,38.5,1,3,6,0.8745,10
ONGC.NS,ONGC Oil Gas,-0.0244,Neutral,48.8,3,3,4,0.8479,10
NTPC.NS,NTPC Power,-0.0014,Neutral,49.9,1,1,8,0.9175,10
POWERGRID.NS,Power Grid India,0.2965,Positive,64.8,4,1,5,0.8335,10
TECHM.NS,Tech Mahindra,-0.1976,Negative,40.1,2,4,4,0.8763,10
HCLTECH.NS,HCL Technologies,-0.2979,Negative,35.1,2,5,3,0.9141,10
JSWSTEEL.NS,JSW Steel,0.2794,Positive,64.0,3,0,7,0.9296,10
TATASTEEL.NS,Tata Steel,-0.0727,Neutral,46.4,2,3,5,0.8959,10
TATAMOTORS.NS,Tata Motors,0.071,Neutral,53.5,3,2,5,0.9031,10
NESTLEIND.NS,Nestle India,0.2612,Positive,63.1,4,1,5,0.9084,10
DRREDDY.NS,Dr Reddys Laboratories,0.0129,Neutral,50.6,3,3,4,0.9163,10
DIVISLAB.NS,Divis Laboratories,-0.1084,Neutral,44.6,2,3,5,0.9048,10
CIPLA.NS,Cipla Pharma,0.0939,Neutral,54.7,3,2,5,0.8881,10
COALINDIA.NS,Coal India,-0.1339,Neutral,43.3,2,3,5,0.8315,10
BPCL.NS,BPCL Bharat Petroleum,0.0035,Neutral,50.2,4,4,2,0.9107,10
GRASIM.NS,Grasim Industries,0.1667,Positive,58.3,3,1,6,0.8952,10
ADANIENT.NS,Adani Enterprises,0.4092,Very Positive,70.5,6,1,3,0.8393,10
ADANIPORTS.NS,Adani Ports,0.1638,Positive,58.2,4,2,4,0.8818,10
BAJAJFINSV.NS,Bajaj Finserv,0.249,Positive,62.5,3,0,7,0.9027,10
BAJAJ-AUTO.NS,Bajaj Auto,0.0042,Neutral,50.2,2,2,6,0.9227,10
HEROMOTOCO.NS,Hero MotoCorp,0.4687,Very Positive,73.4,5,0,5,0.9344,10
EICHERMOT.NS,Eicher Motors,0.4377,Very Positive,71.9,5,0,5,0.9044,10
BRITANNIA.NS,Britannia Industries,-0.3592,Negative,32.0,1,5,4,0.8582,10
HINDALCO.NS,Hindalco Aluminium,0.0952,Neutral,54.8,4,3,3,0.8833,10
UPL.NS,UPL Agrochemicals,-0.1817,Negative,40.9,0,2,8,0.8957,10
SBILIFE.NS,SBI Life Insurance,-0.0455,Neutral,47.7,2,2,6,0.8803,10
HDFCLIFE.NS,HDFC Life Insurance,0.1853,Positive,59.3,2,0,8,0.9018,10
APOLLOHOSP.NS,Apollo Hospitals,0.2535,Positive,62.7,3,0,7,0.8536,10
TATACONSUM.NS,Tata Consumer Products,0.1707,Positive,58.5,3,1,6,0.8976,10
INDUSINDBK.NS,IndusInd Bank,-0.3815,Negative,30.9,1,5,4,0.945,10
M&M.NS,Mahindra Mahindra,-0.1903,Negative,40.5,0,2,8,0.8948,10
LTF.NS,L&T Finance,-0.0957,Neutral,45.2,0,1,9,0.8582,10
