Ticker,Company,Sector,Industry,Market_Cap_Cr,PE_Ratio,Forward_PE,PB_Ratio,PS_Ratio,EV_EBITDA,ROE_Pct,ROA_Pct,Profit_Margin_Pct,Operating_Margin_Pct,Revenue_Growth_Pct,Earnings_Growth_Pct,Debt_To_Equity,Current_Ratio,Quick_Ratio,EPS,Book_Value,Dividend_Yield_Pct,Current_Price,52W_High,52W_Low,Fund_Score,Fund_Grade
RELIANCE.NS,Reliance Industries Limited,Energy,Oil & Gas Refining & Marketing,1729449.95,23.03948,17.869526,1.9130448,1.5310218,11.355,,,6.61,12.33,29.7,-22.4,36.653,,,55.47,668.045,47.0,1278.0,1611.8,1249.8,32,D
TCS.NS,Tata Consultancy Services Limited,IT,Information Technology Services,815625.46,16.287117,13.897923,7.4395905,2.956675,10.865,47.74,24.48,18.05,23.96,13.9,4.6,10.211,2.276,2.045,138.41,303.014,290.0,2254.3,3350.0,1976.8,60,B
HDFCBANK.NS,HDFC Bank Limited,Banking,Banks - Regional,1144284.98,16.665918,11.865815,1.8861744,3.8794,,13.84,1.75,26.79,33.29,16.6,18.1,,,,44.57,393.813,174.0,742.8,1020.5,726.65,52,C
INFY.NS,Infosys Limited,IT,Information Technology Services,421577.36,13.422308,13.011334,4.464505,207.6838,942.535,32.0,15.28,16.37,21.09,2.9,5.3,9.541,1.862,1.547,77.55,233.15013,477.0,1040.9,1728.0,982.4,52,C
ICICIBANK.NS,ICICI Bank Limited,Banking,Banks - Regional,1027858.86,18.532074,15.243617,2.701663,5.04516,,16.07,2.11,27.53,38.51,11.4,13.8,,,,77.32,530.377,84.0,1432.9,1500.0,1187.6,57,B
HINDUNILVR.NS,Hindustan Unilever Limited,FMCG,Household & Personal Products,503987.36,47.47676,39.805023,10.340539,7.817636,34.268,21.6,10.71,23.33,21.14,4.3,21.4,3.016,1.223,0.7,45.18,207.436,204.0,2145.0,2750.0,2022.5,35,D
ITC.NS,ITC Limited,FMCG,Tobacco,355147.79,17.034256,16.062174,4.8981323,4.5030427,12.266,29.34,17.59,26.23,36.41,-5.0,-72.7,3.293,3.039,1.8,16.64,57.869,569.0,283.45,427.0,275.0,55,B
SBIN.NS,State Bank of India,Banking,Banks - Regional,936907.69,11.111112,9.940322,1.5716479,2.4872878,,15.48,1.11,22.11,28.96,7.1,-3.1,,,,91.35,645.819,171.0,1015.0,1234.7,786.55,52,C
BHARTIARTL.NS,Bharti Airtel Limited,Telecom,Telecom Services,1184221.99,42.742626,23.232834,7.7547183,5.61315,12.516,19.36,7.88,12.65,32.77,15.7,-34.0,99.718,0.517,0.282,44.41,244.78,124.0,1898.2,2174.5,1740.5,35,D
KOTAKBANK.NS,Kotak Mahindra Bank Limited,Banking,Banks - Regional,382690.26,18.7958,15.058709,2.1116788,5.367604,,,,28.47,34.76,21.0,22.5,,,,20.47,182.201,17.0,384.75,453.2,345.5,47,C
LT.NS,Larsen & Toubro Limited,Infrastructure,Engineering & Construction,520796.03,32.466553,20.6248,4.764938,1.7858843,17.363,16.95,4.59,5.51,10.71,11.7,-34.5,97.64,1.251,0.845,116.6,794.47,100.0,3785.6,4440.0,3288.1,30,D
AXISBANK.NS,Axis Bank Limited,Banking,Banks - Regional,381823.27,13.822503,9.701977,1.7104107,4.95351,,13.35,1.54,36.03,49.18,14.0,21.8,,,,88.79,717.547,8.0,1227.3,1418.3,1042.5,57,B
ASIANPAINT.NS,Asian Paints Limited,Paints,Specialty Chemicals,252880.77,58.49002,44.850647,11.839394,7.106678,39.527,20.89,10.56,12.15,16.14,10.6,69.2,17.847,2.209,1.485,45.1,222.807,103.0,2637.9,2985.7,2115.0,50,C
MARUTI.NS,Maruti Suzuki India Limited,Auto,Auto Manufacturers,422619.93,28.735731,21.64651,3.9439397,2.3054175,18.893,14.43,6.55,8.01,8.41,28.2,-6.4,0.096,1.068,0.622,467.78,3408.267,104.0,13442.0,17370.0,12201.0,45,C
SUNPHARMA.NS,Sun Pharmaceutical Industries Limited,Pharma,Drug Manufacturers - Specialty & Generic,465734.89,40.549404,30.19705,5.5729895,7.9664497,26.797,14.72,8.47,19.64,19.23,12.8,25.1,5.517,2.824,2.183,47.87,348.305,82.0,1941.1,1966.5,1548.0,40,C
TITAN.NS,Titan Company Limited,Consumer,Luxury Goods,414871.06,81.608795,54.828583,26.442402,4.736836,56.046,37.13,9.32,5.79,6.36,80.5,35.1,195.001,1.276,0.129,57.31,176.875,32.0,4677.0,4733.0,3303.1,35,D
ULTRACEMCO.NS,UltraTech Cement Limited,Cement,Building Materials,348473.34,40.76955,27.413237,4.837296,3.792524,20.921,,,9.29,15.48,15.9,16.8,29.432,,,290.56,2448.889,202.0,11846.0,13110.0,10325.0,10,F
BAJFINANCE.NS,Bajaj Finance Limited,NBFC,Credit Services,629746.54,33.23925,20.430006,5.5241323,14.332014,,17.91,3.77,43.28,60.31,28.2,21.4,314.833,2.692,2.593,30.47,183.341,52.0,1012.8,1102.5,787.9,60,B
