Ticker,Company,Headline,Label,Confidence,Polarity,Model
RELIANCE.NS,Reliance Industries,"Stocks to Watch Today: Reliance Industries, ICICI Bank, HDFC Bank, NATCO Pharma, Oberoi Realty, RBL Bank,...",neutral,0.9286,0.0,FinBERT
RELIANCE.NS,Reliance Industries,Reliance Share Price - Live NSE: RELIANCE Stock Price & Chart,neutral,0.9438,0.0,FinBERT
RELIANCE.NS,Reliance Industries,Reliance Industries shares climb nearly 3% as Jio files for IPO,positive,0.9075,0.9075,FinBERT
RELIANCE.NS,Reliance Industries,What NSE and Jio Platforms IPOs reveal about India's changing economy,neutral,0.9241,0.0,FinBERT
RELIANCE.NS,Reliance Industries,Reliance Industries share price rises 2.5% despite stock market crash. Do you own?,neutral,0.7858,0.0,FinBERT
RELIANCE.NS,Reliance Industries,Unpleasant Surprises Could Be In Store For Reliance Industries Limited's (NSE:RELIANCE) Shares,negative,0.779,-0.779,FinBERT
RELIANCE.NS,Reliance Industries,"Reliance Industries hits 52-week low, stock down 12% in one month",negative,0.9709,-0.9709,FinBERT
RELIANCE.NS,Reliance Industries,Indian shares extend losses as investors book profits in thin year-end trade; Reliance drags,negative,0.9701,-0.9701,FinBERT
RELIANCE.NS,Reliance Industries,Reliance Industries shares up 2% on NSE,positive,0.9417,0.9417,FinBERT
RELIANCE.NS,Reliance Industries,IPO: Reliance Jio announces what may be India's biggest-ever share sale,neutral,0.877,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,TCS Share Price Today - Tata Consultancy Services on NSE/BSE,neutral,0.9375,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,TCS Q1 FY2027 Results: Revenue and Profit Data,neutral,0.8587,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,"TCS dips 2%, trades near 6-year low ahead of Q1 results; IT sector in focus",negative,0.9639,-0.9639,FinBERT
TCS.NS,TCS Tata Consultancy,"IT shares crash after three-day rally, TCS nosedives 8 per cent",negative,0.9687,-0.9687,FinBERT
TCS.NS,TCS Tata Consultancy,TCS share price falls 2% ahead of Q1 results 2026. Should you buy or sell?,negative,0.5031,-0.5031,FinBERT
TCS.NS,TCS Tata Consultancy,Investors in Tata Consultancy Services (NSE:TCS) have unfortunately lost 21% over the last year,negative,0.9728,-0.9728,FinBERT
TCS.NS,TCS Tata Consultancy,"Stocks to Watch Today: SBI, TCS, Tata Steel, Iware Supplychain, NLC India, Graphite India, TVS Motor,...",neutral,0.9388,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,"TCS board sets July dividend decision, shares trade lower on NSE",negative,0.9517,-0.9517,FinBERT
TCS.NS,TCS Tata Consultancy,"TCS to Announce Q1 FY27 Financial Results on July 9, 2026",neutral,0.9504,0.0,FinBERT
TCS.NS,TCS Tata Consultancy,TCS shares slide to 6-year low after 9% crash; what lies ahead?,negative,0.9325,-0.9325,FinBERT
HDFCBANK.NS,HDFC Bank,"Stocks to Watch Today: Reliance Industries, ICICI Bank, HDFC Bank, NATCO Pharma, Oberoi Realty, RBL Bank,...",neutral,0.9286,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,HDFC Bank Share Price - Live NSE: HDFCBANK Stock Price & Chart,neutral,0.9451,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,"HDFC Bank Ltd Share Price Today,, HDFCBANK Share Price NSE, BSE",neutral,0.9444,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,"ICICI Bank Share Price Today, ICICI Bank Stock Price Live NSE/BSE Updates",neutral,0.9448,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,HDFC Bank gains 2% on Q1 business update; brokerages decode fine print,positive,0.9353,0.9353,FinBERT
HDFCBANK.NS,HDFC Bank,Bear territory! HDFC Bank shares plunge over 21% from all-time high. Top 5 brokerages weigh in,negative,0.9278,-0.9278,FinBERT
HDFCBANK.NS,HDFC Bank,HDFC Bank shares in focus as stock turns ex-dividend; Keki Mistry’s gets extension,neutral,0.795,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,"YES Bank Share Price Today, YES Bank Stock Price Live NSE/BSE Updates",neutral,0.9445,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,"Stock Market News - Share Market News, Sensex Today, BSE/NSE India, Nifty 50 Updates | CNBCTV18",neutral,0.9284,0.0,FinBERT
HDFCBANK.NS,HDFC Bank,HDFC Bank shares drop 2% on report of probe into Rs 45-crore interest payments,negative,0.9634,-0.9634,FinBERT
INFY.NS,Infosys,Infosys Stock Leads 3 Founder Backed Indian Companies Worth Watching,positive,0.5486,0.5486,FinBERT
INFY.NS,Infosys,"Stocks to Watch Today: Infosys, IRFC, Honasa Consumer, Rashi Peripherals, City Union Bank, Delhivery, Clay...",neutral,0.9376,0.0,FinBERT
INFY.NS,Infosys,"Infosys, Rajesh Exports, TechM, among buzzing stocks as SENSEX jumps over 650 pts, NIFTY rises 1% in noon deals",positive,0.919,0.919,FinBERT
INFY.NS,Infosys,"Infosys shares down 5%, hit 52-week low: Why IT stock tumbled after Q4 results",negative,0.9642,-0.9642,FinBERT
INFY.NS,Infosys,IT stocks to buy: Infosys top pick; target prices amid weak Q1 expectations,negative,0.5086,-0.5086,FinBERT
INFY.NS,Infosys,Infosys share price today: Stock falls around 4% after Q4 numbers; what’s the outlook? Brokerages share r,negative,0.9453,-0.9453,FinBERT
INFY.NS,Infosys,"Why Infosys, TCS, TechM shares are rising today?",positive,0.5433,0.5433,FinBERT
INFY.NS,Infosys,Infosys stock heads into the week after Accenture news hits Nifty IT,negative,0.4509,-0.4509,FinBERT
INFY.NS,Infosys,INFY Forecast — Price Target — Prediction for 2027,neutral,0.8226,0.0,FinBERT
INFY.NS,Infosys,IT Shares Slide Sharply: Infosys Down 8.5% on Accenture Warning,negative,0.9706,-0.9706,FinBERT
ICICIBANK.NS,ICICI Bank,"ICICI Bank Share Price Today, ICICI Bank Stock Price Live NSE/BSE Updates",neutral,0.9448,0.0,FinBERT
ICICIBANK.NS,ICICI Bank,"Stocks to Watch Today: Reliance Industries, ICICI Bank, HDFC Bank, NATCO Pharma, Oberoi Realty, RBL Bank,...",neutral,0.9286,0.0,FinBERT
ICICIBANK.NS,ICICI Bank,ICICI Bank Share Price - Live NSE: ICICIBANK Stock Price & Chart,neutral,0.944,0.0,FinBERT
ICICIBANK.NS,ICICI Bank,"ICICI Bank soars 3%, nears record high; brokerages upbeat on stock",positive,0.8116,0.8116,FinBERT
ICICIBANK.NS,ICICI Bank,Here's Why We Think ICICI Bank (NSE:ICICIBANK) Might Deserve Your Attention Today,neutral,0.7585,0.0,FinBERT
ICICIBANK.NS,ICICI Bank,Indian Oil Corporation Share Price Today - Live NSE/BSE,neutral,0.9385,0.0,FinBERT
ICICIBANK.NS,ICICI Bank,"SENSEX rises over 500 points, NIFTY50 above 24,200 led by gains in ICICI Bank, HDFC Bank",positive,0.9362,0.9362,FinBERT
ICICIBANK.NS,ICICI Bank,ICICI Bank share price target: Two near-term triggers that can drive earnings rerating,neutral,0.6636,0.0,FinBERT
ICICIBANK.NS,ICICI Bank,India's ICICI Prudential AMC notches $14.4 billion valuation on trading-debut spike,neutral,0.5706,0.0,FinBERT
ICICIBANK.NS,ICICI Bank,ICICIBANK Forecast — Price Target — Prediction for 2027,neutral,0.8311,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,Hindustan Unilever Share Price - Live NSE: HINDUNILVR Stock Price & Chart,neutral,0.9444,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,HINDUNILVR Share Price Today - Hindustan Unilever on NSE/BSE,neutral,0.9421,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,Hindustan Unilever Share Price Today - Live NSE/BSE,neutral,0.9422,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,"Kwality Wall’s (India) Share Price List At NSE, BSE After HUL Demerger",neutral,0.9433,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,Hindustan Unilever rallies 6% in 2 days; what's driving FMCG stock?,neutral,0.7542,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,Kwality Wall''s Stock Debuts After HUL Demerger,neutral,0.4798,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,"Hindustan Unilever demerges Kwality Wall’s, 2.3 Billion shares to list on stock market",neutral,0.9181,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,CAM advised Kwality Wall's (India) Ltd in relation to listing of its equity shares on BSE and NSE,neutral,0.9324,0.0,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,Kwality Wall’s shares list with 26% discount at ₹29.80 apiece versus adjusted price of ₹40.20 on NSE,positive,0.5725,0.5725,FinBERT
HINDUNILVR.NS,Hindustan Unilever HUL,"Hindustan Unilever’s ice cream arm Kwality Wall’s shares to list on NSE, BSE on February 16",neutral,0.9389,0.0,FinBERT
ITC.NS,ITC Limited,ITC Share Price,neutral,0.9466,0.0,FinBERT
ITC.NS,ITC Limited,ITC Limited's (NSE:ITC) Shares May Have Run Too Fast Too Soon,negative,0.8927,-0.8927,FinBERT
ITC.NS,ITC Limited,"ITC stock nears 52-week low; slips 8% in 1 month, down 21% thus far in 2026",negative,0.975,-0.975,FinBERT
ITC.NS,ITC Limited,ITC HOTELS LIMITED Share Price - Live NSE: ITCHOTELS Stock Price & Chart,neutral,0.947,0.0,FinBERT
ITC.NS,ITC Limited,"ITC Limited sets July 23 for 115th AGM, recommends ₹8 dividend",neutral,0.9338,0.0,FinBERT
ITC.NS,ITC Limited,ITC Ltd. Share Price Today - ITC Ltd. Stock Price Live NSE/BSE,neutral,0.933,0.0,FinBERT
ITC.NS,ITC Limited,ITC Limited (NSE:ITC) Stock's Been Sliding But Fundamentals Look Decent: Will The Market Correct The Share Price In The Future?,negative,0.9185,-0.9185,FinBERT
ITC.NS,ITC Limited,"ITC, Auro Pharma, Power Grid: Stocks to buy— target prices, stop loss, risk-reward & more",neutral,0.9224,0.0,FinBERT
ITC.NS,ITC Limited,ITC Ltd Records ₹16.62 Crore Block Trade on NSE at ₹293.10 Per Share,neutral,0.8077,0.0,FinBERT
ITC.NS,ITC Limited,"Adani Power, Vedanta, ITC: Stocks to trade— Check key levels, target, stop loss & more",neutral,0.9263,0.0,FinBERT
