Ticker,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct,VaR_95_Pct,CVaR_95_Pct,Beta,Current_Price,52W_High,52W_Low,From_52W_High_Pct
EICHERMOT.NS,47.85,26.71,1.548,-19.58,-2.567,-3.579,1.279,7632.0,8190.0,5317.06,-6.81
LTF.NS,57.36,34.46,1.476,-25.01,-2.885,-4.32,1.834,305.9,335.6,193.76,-8.85
TITAN.NS,40.24,22.88,1.475,-11.27,-1.584,-2.766,1.041,4711.6,4711.6,3305.15,0.0
HINDALCO.NS,45.47,27.79,1.402,-18.27,-2.865,-4.127,0.931,950.0,1143.73,663.59,-16.94
BAJAJ-AUTO.NS,38.48,22.86,1.399,-13.37,-1.962,-2.813,0.99,10998.5,10998.5,7896.87,0.0
SBIN.NS,31.77,22.75,1.111,-22.11,-1.945,-3.396,1.024,1025.0,1206.06,779.94,-15.01
APOLLOHOSP.NS,26.25,19.21,1.028,-15.21,-1.515,-1.992,0.667,8938.0,8938.0,6784.49,0.0
ADANIPORTS.NS,33.79,27.19,1.004,-16.98,-2.21,-3.379,1.52,1819.4,1883.2,1294.84,-3.39
NESTLEIND.NS,26.51,20.87,0.959,-11.96,-1.838,-2.453,0.685,1493.6,1493.6,1078.37,0.0
INDUSINDBK.NS,32.7,28.69,0.913,-21.99,-2.937,-3.898,1.575,1069.3,1069.3,711.6,0.0
JSWSTEEL.NS,27.36,23.38,0.892,-13.35,-2.324,-3.455,1.289,1266.9,1305.4,1020.74,-2.95
ADANIENT.NS,29.56,34.93,0.66,-34.28,-3.136,-4.222,1.782,3147.7,3212.1,1758.01,-2.0
SUNPHARMA.NS,19.35,19.69,0.653,-13.23,-1.994,-2.911,0.632,1943.0,1961.9,1549.15,-0.96
COALINDIA.NS,21.0,22.25,0.652,-11.27,-1.969,-2.93,0.339,428.4,481.65,348.03,-11.06
HEROMOTOCO.NS,23.3,26.41,0.636,-23.34,-2.738,-3.443,1.352,4987.1,6229.09,4149.81,-19.94
GRASIM.NS,19.67,21.57,0.611,-14.45,-2.09,-3.097,1.17,3166.3,3213.6,2531.1,-1.47
TATASTEEL.NS,21.25,26.79,0.551,-14.85,-2.555,-3.749,1.337,186.53,216.66,149.92,-13.91
ASIANPAINT.NS,18.48,23.74,0.505,-28.54,-2.473,-3.154,0.985,2692.8,2942.97,2103.05,-8.5
AXISBANK.NS,16.27,23.78,0.411,-17.23,-2.276,-3.522,1.144,1238.4,1401.92,1044.39,-11.66
DIVISLAB.NS,15.22,22.49,0.388,-15.44,-2.259,-3.018,0.738,7386.5,7386.5,5689.5,0.0
BAJFINANCE.NS,17.09,29.42,0.36,-26.74,-2.82,-4.256,1.518,1060.3,1087.47,796.65,-2.5
LT.NS,14.98,25.2,0.337,-24.35,-2.281,-3.683,1.377,3817.4,4375.36,3310.07,-12.75
MARUTI.NS,13.08,24.69,0.267,-28.83,-2.467,-3.307,1.156,13545.0,17292.0,12207.87,-21.67
ONGC.NS,10.74,23.07,0.184,-22.66,-2.186,-3.155,0.187,251.9,301.4,220.61,-16.42
TECHM.NS,8.73,27.76,0.08,-24.69,-2.597,-4.057,0.701,1560.6,1723.61,1297.97,-9.46
NTPC.NS,7.51,18.95,0.053,-16.66,-1.704,-2.296,0.63,350.5,410.2,316.11,-14.55
TATACONSUM.NS,4.37,22.42,-0.095,-16.31,-2.102,-2.821,0.664,1094.9,1260.34,1006.29,-13.13
BHARTIARTL.NS,4.2,19.5,-0.118,-18.77,-1.835,-2.852,0.62,1949.0,2162.7,1756.8,-9.88
BPCL.NS,2.58,29.39,-0.133,-30.13,-2.924,-4.153,1.413,314.0,388.3,271.3,-19.13
M&M.NS,2.32,27.69,-0.151,-22.91,-2.83,-3.661,1.49,3175.3,3762.88,2900.64,-15.62
POWERGRID.NS,2.3,19.86,-0.211,-13.33,-1.823,-2.482,0.538,289.3,320.9,251.23,-9.85
SBILIFE.NS,2.02,19.97,-0.224,-19.02,-2.246,-3.033,0.915,1806.7,2106.67,1706.0,-14.24
CIPLA.NS,-0.21,21.63,-0.31,-28.32,-2.015,-2.949,0.687,1415.1,1648.14,1181.32,-14.14
DRREDDY.NS,-1.35,23.73,-0.331,-13.48,-2.011,-3.152,0.598,1182.8,1367.03,1149.91,-13.48
ICICIBANK.NS,0.23,18.69,-0.335,-18.37,-2.013,-2.432,0.834,1440.7,1477.2,1205.9,-2.47
ULTRACEMCO.NS,-1.39,22.89,-0.345,-20.61,-2.141,-3.295,1.333,11893.0,13052.0,10362.0,-8.88
BRITANNIA.NS,-0.63,20.4,-0.35,-19.63,-2.281,-2.911,0.717,5485.5,6300.5,5064.0,-12.94
UPL.NS,-10.44,32.45,-0.522,-29.84,-3.02,-5.237,1.527,608.85,797.63,559.63,-23.67
BAJAJFINSV.NS,-5.55,23.02,-0.523,-25.03,-2.231,-3.192,1.338,1876.4,2174.74,1630.41,-13.72
RELIANCE.NS,-6.21,20.2,-0.629,-20.58,-2.101,-2.87,0.835,1288.6,1584.97,1258.8,-18.7
HCLTECH.NS,-11.69,27.84,-0.653,-39.06,-2.609,-4.541,0.861,1237.3,1679.96,1023.75,-26.35
KOTAKBANK.NS,-9.58,22.08,-0.728,-20.61,-2.234,-3.318,1.01,381.15,444.35,352.79,-14.22
HINDUNILVR.NS,-9.81,20.45,-0.798,-23.18,-1.949,-2.931,0.695,2154.6,2644.7,2031.54,-18.53
INFY.NS,-27.85,29.05,-1.182,-40.43,-2.665,-4.397,0.76,1052.1,1654.01,985.3,-36.39
TCS.NS,-24.89,26.43,-1.188,-38.46,-2.683,-4.269,0.892,2208.3,3204.28,1971.79,-31.08
WIPRO.NS,-27.81,24.89,-1.378,-36.0,-2.77,-4.187,0.797,174.44,265.81,170.13,-34.37
