Ticker,Company,Avg_Polarity,Sentiment_Label,Sentiment_Score,Bullish_Count,Bearish_Count,Neutral_Count,Avg_Confidence,Total_Articles
RELIANCE.NS,Reliance Industries,-0.0871,Neutral,45.6,2,3,5,0.9029,10
TCS.NS,TCS Tata Consultancy,-0.5293,Very Negative,23.5,0,6,4,0.8978,10
HDFCBANK.NS,HDFC Bank,-0.0956,Neutral,45.2,1,2,7,0.9257,10
INFY.NS,Infosys,-0.1829,Negative,40.9,3,5,2,0.7611,10
ICICIBANK.NS,ICICI Bank,0.1748,Positive,58.7,2,0,8,0.8327,10
HINDUNILVR.NS,Hindustan Unilever HUL,0.0573,Neutral,52.9,1,0,9,0.8368,10
ITC.NS,ITC Limited,-0.2786,Negative,36.1,0,3,7,0.9203,10
SBIN.NS,State Bank India SBI,0.098,Neutral,54.9,2,1,7,0.7786,10
BHARTIARTL.NS,Bharti Airtel,0.366,Positive,68.3,5,1,4,0.8918,10
KOTAKBANK.NS,Kotak Mahindra Bank,0.2163,Positive,60.8,3,1,6,0.8593,10
LT.NS,Larsen Toubro,-0.0379,Neutral,48.1,1,2,7,0.8441,10
AXISBANK.NS,Axis Bank,-0.0279,Neutral,48.6,2,2,6,0.9164,10
ASIANPAINT.NS,Asian Paints,0.1788,Positive,58.9,3,1,6,0.9028,10
MARUTI.NS,Maruti Suzuki,-0.0993,Neutral,45.0,1,2,7,0.9012,10
SUNPHARMA.NS,Sun Pharma,-0.0045,Neutral,49.8,1,1,8,0.843,10
TITAN.NS,Titan Company,0.3723,Positive,68.6,5,0,5,0.8016,10
ULTRACEMCO.NS,UltraTech Cement,0.0507,Neutral,52.5,3,2,5,0.9005,10
BAJFINANCE.NS,Bajaj Finance,0.0051,Neutral,50.3,1,1,8,0.8547,10
WIPRO.NS,Wipro,-0.2465,Negative,37.7,2,4,4,0.8478,10
ONGC.NS,ONGC Oil Gas,-0.06,Neutral,47.0,2,3,5,0.8506,10
NTPC.NS,NTPC Power,-0.0014,Neutral,49.9,1,1,8,0.9106,10
POWERGRID.NS,Power Grid India,0.3911,Positive,69.6,5,1,4,0.8767,10
TECHM.NS,Tech Mahindra,-0.0228,Neutral,48.9,3,3,4,0.8335,10
HCLTECH.NS,HCL Technologies,-0.2787,Negative,36.1,2,5,3,0.9337,10
JSWSTEEL.NS,JSW Steel,0.1885,Positive,59.4,2,0,8,0.9248,10
TATASTEEL.NS,Tata Steel,-0.0686,Neutral,46.6,2,3,5,0.8907,10
TATAMOTORS.NS,Tata Motors,-0.1028,Neutral,44.9,2,3,5,0.9236,10
NESTLEIND.NS,Nestle India,0.3435,Positive,67.2,5,1,4,0.8938,10
DRREDDY.NS,Dr Reddys Laboratories,0.1961,Positive,59.8,3,1,6,0.9208,10
DIVISLAB.NS,Divis Laboratories,-0.1084,Neutral,44.6,2,3,5,0.9017,10
CIPLA.NS,Cipla Pharma,0.27,Positive,63.5,5,2,3,0.8918,10
COALINDIA.NS,Coal India,-0.1909,Negative,40.5,1,3,6,0.865,10
BPCL.NS,BPCL Bharat Petroleum,0.1002,Neutral,55.0,4,3,3,0.8978,10
GRASIM.NS,Grasim Industries,0.1667,Positive,58.3,3,1,6,0.8948,10
ADANIENT.NS,Adani Enterprises,0.2723,Positive,63.6,5,2,3,0.8782,10
ADANIPORTS.NS,Adani Ports,0.1599,Positive,58.0,3,1,6,0.8736,10
BAJAJFINSV.NS,Bajaj Finserv,0.249,Positive,62.5,3,0,7,0.9036,10
BAJAJ-AUTO.NS,Bajaj Auto,0.0061,Neutral,50.3,2,2,6,0.9,10
HEROMOTOCO.NS,Hero MotoCorp,0.2796,Positive,64.0,3,0,7,0.9305,10
EICHERMOT.NS,Eicher Motors,0.4565,Very Positive,72.8,5,0,5,0.9249,10
BRITANNIA.NS,Britannia Industries,-0.362,Negative,31.9,1,5,4,0.8717,10
HINDALCO.NS,Hindalco Aluminium,0.1756,Positive,58.8,5,3,2,0.9112,10
UPL.NS,UPL Agrochemicals,-0.2403,Negative,38.0,0,3,7,0.8619,10
SBILIFE.NS,SBI Life Insurance,-0.0955,Neutral,45.2,1,2,7,0.93,10
HDFCLIFE.NS,HDFC Life Insurance,-0.0774,Neutral,46.1,0,1,9,0.9186,10
APOLLOHOSP.NS,Apollo Hospitals,0.1586,Positive,57.9,2,0,8,0.856,10
TATACONSUM.NS,Tata Consumer Products,0.335,Positive,66.8,4,0,6,0.8895,10
INDUSINDBK.NS,IndusInd Bank,-0.3815,Negative,30.9,1,5,4,0.946,10
M&M.NS,Mahindra Mahindra,-0.0972,Neutral,45.1,0,1,9,0.8865,10
LTF.NS,L&T Finance,0.0339,Neutral,51.7,1,1,8,0.8114,10
