Ticker,Ann_Return_Pct,Ann_Volatility_Pct,Sharpe_Ratio,Max_Drawdown_Pct,VaR_95_Pct,CVaR_95_Pct,Beta,Current_Price,52W_High,52W_Low,From_52W_High_Pct
TITAN.NS,51.27,23.01,1.946,-11.29,-1.558,-2.732,1.049,4998.0,5000.0,3316.42,-0.04
HINDALCO.NS,58.79,28.06,1.864,-18.25,-2.862,-4.126,0.92,1027.0,1143.73,663.59,-10.21
LTF.NS,69.17,34.36,1.824,-25.01,-2.882,-4.319,1.812,316.65,335.6,193.76,-5.65
BAJAJ-AUTO.NS,48.68,23.17,1.82,-13.35,-1.962,-2.782,0.995,11620.0,11856.0,8065.0,-1.99
NESTLEIND.NS,42.38,20.4,1.759,-11.97,-1.738,-2.243,0.676,1535.0,1535.0,1078.37,0.0
EICHERMOT.NS,47.82,26.85,1.539,-19.58,-2.568,-3.579,1.314,7967.5,8105.12,5599.36,-1.7
SBIN.NS,41.35,22.96,1.518,-22.12,-1.942,-3.395,1.018,1085.0,1206.06,787.75,-10.04
DIVISLAB.NS,41.23,23.5,1.478,-15.47,-2.18,-2.773,0.799,8349.0,8585.0,5666.13,-2.75
APOLLOHOSP.NS,27.88,19.18,1.115,-15.15,-1.53,-1.929,0.619,8974.5,9050.0,6784.49,-0.83
BAJFINANCE.NS,38.01,30.24,1.042,-26.7,-2.754,-4.043,1.513,1144.8,1158.8,796.65,-1.21
SUNPHARMA.NS,25.95,19.06,1.02,-13.25,-1.894,-2.688,0.572,1951.0,2001.1,1549.15,-2.5
HEROMOTOCO.NS,33.22,26.61,1.004,-23.35,-2.738,-3.443,1.334,5550.5,6138.79,4325.72,-9.58
ADANIENT.NS,40.23,34.73,0.971,-34.24,-3.06,-4.233,1.745,3026.0,3212.1,1758.01,-5.79
JSWSTEEL.NS,28.75,23.52,0.946,-13.35,-2.322,-3.455,1.289,1307.9,1330.0,1020.74,-1.66
INDUSINDBK.NS,32.48,28.91,0.899,-22.0,-3.038,-4.127,1.55,1016.2,1069.3,711.6,-4.97
ADANIPORTS.NS,29.56,27.25,0.846,-16.97,-2.336,-3.518,1.451,1695.0,1883.2,1294.84,-9.99
TATASTEEL.NS,26.37,26.4,0.753,-15.7,-2.506,-3.702,1.297,189.3,216.66,150.53,-12.63
COALINDIA.NS,21.01,22.45,0.646,-14.91,-1.99,-3.011,0.31,415.6,475.3,352.56,-12.56
AXISBANK.NS,21.07,24.0,0.607,-17.23,-2.278,-3.522,1.166,1256.0,1401.92,1044.39,-10.41
GRASIM.NS,20.12,22.51,0.605,-14.43,-2.196,-3.218,1.221,3220.0,3260.0,2531.1,-1.23
TECHM.NS,20.7,27.58,0.515,-24.69,-2.542,-4.015,0.643,1632.2,1723.61,1297.97,-5.3
LT.NS,16.75,24.83,0.413,-24.36,-2.278,-3.684,1.379,4061.8,4375.36,3310.07,-7.17
MARUTI.NS,15.53,24.78,0.364,-28.82,-2.472,-3.308,1.149,14018.0,17292.0,12306.0,-18.93
ASIANPAINT.NS,15.11,23.83,0.361,-28.54,-2.474,-3.155,1.04,2755.0,2942.97,2103.05,-6.39
BAJAJFINSV.NS,11.81,23.96,0.222,-25.01,-2.15,-3.186,1.346,2086.0,2174.74,1630.41,-4.08
BPCL.NS,12.42,29.41,0.201,-30.13,-2.834,-4.108,1.418,323.7,388.3,271.3,-16.64
M&M.NS,11.07,28.23,0.162,-22.91,-2.83,-3.662,1.493,3406.0,3762.88,2900.64,-9.48
ONGC.NS,10.26,23.39,0.161,-22.68,-2.286,-3.299,0.145,237.8,301.4,220.61,-21.1
NTPC.NS,8.6,19.13,0.11,-16.66,-1.82,-2.342,0.629,345.0,410.2,316.11,-15.89
TATACONSUM.NS,7.17,22.72,0.029,-16.3,-2.106,-2.833,0.702,1090.0,1260.34,1006.29,-13.52
ICICIBANK.NS,4.45,18.82,-0.109,-16.62,-2.016,-2.432,0.862,1457.5,1460.0,1195.82,-0.17
BHARTIARTL.NS,4.15,19.28,-0.122,-18.78,-1.704,-2.798,0.599,1948.0,2135.82,1734.97,-8.79
ULTRACEMCO.NS,3.5,22.93,-0.131,-20.61,-2.144,-3.295,1.336,12075.0,12790.92,10154.73,-5.6
BRITANNIA.NS,3.78,19.89,-0.137,-19.58,-2.17,-2.735,0.721,5404.0,6197.29,4981.04,-12.8
CIPLA.NS,2.53,21.3,-0.186,-28.34,-1.772,-2.834,0.694,1477.0,1648.14,1181.32,-10.38
SBILIFE.NS,2.49,19.88,-0.202,-19.02,-2.138,-3.015,0.919,1861.5,2106.67,1706.0,-11.64
DRREDDY.NS,1.17,23.46,-0.227,-16.91,-1.99,-2.931,0.606,1171.0,1367.03,1135.6,-14.34
HCLTECH.NS,-0.84,28.07,-0.261,-39.08,-2.608,-4.542,0.856,1335.0,1679.96,1023.75,-20.53
KOTAKBANK.NS,0.68,20.86,-0.279,-20.57,-2.206,-2.914,1.004,394.0,444.35,352.79,-11.33
POWERGRID.NS,0.13,20.15,-0.316,-15.59,-1.826,-2.596,0.554,270.75,320.9,251.23,-15.63
RELIANCE.NS,-2.06,20.47,-0.418,-20.6,-2.126,-2.871,0.82,1325.0,1584.97,1258.8,-16.4
INFY.NS,-12.26,29.91,-0.627,-40.46,-2.664,-4.398,0.805,1165.0,1654.01,985.3,-29.57
UPL.NS,-13.85,31.81,-0.64,-29.84,-3.02,-5.288,1.49,572.75,797.63,559.63,-28.19
TCS.NS,-15.62,27.44,-0.806,-38.51,-2.744,-4.268,0.914,2373.0,3204.28,1971.79,-25.94
WIPRO.NS,-17.13,25.05,-0.943,-35.98,-2.77,-4.188,0.794,186.12,262.81,168.21,-29.18
HINDUNILVR.NS,-14.65,21.95,-0.964,-23.53,-1.956,-3.318,0.771,2079.5,2644.7,2022.7,-21.37
HDFCBANK.NS,-23.49,20.87,-1.437,-27.57,-2.024,-3.085,1.098,734.3,993.08,719.65,-26.06
HDFCLIFE.NS,-26.22,22.07,-1.483,-32.5,-2.396,-3.105,0.988,542.3,793.72,535.95,-31.68
ITC.NS,-26.48,19.51,-1.69,-31.48,-1.97,-3.012,0.582,284.5,401.99,275.55,-29.23
